2023.25	4900	57.63	2384	3546	77.21	84.31	1973	23.21	960	1483	31.03.2023
2023	4313	56.72	2526	4206	73.5	78.89	1825	24	1069	1780	02.01.2023
2022.75	3217	36.74	1678	4447	60.14	61.3	1664	19	868	2300	01.10.2022
2022.5	3185	35.25	1559	3467	54.82	57.44	1807	20	885	1967	01.07.2022
2022.25	5307	68.49	2706	6247	85.21	94.36	1937	25	988	2280	02.04.2022
2022	4329	52.91	2328	4425	74.8	85.04	1800	22	968	1840	02.01.2022
2021.75	4118	52.62	2289	4443	72.74	84.19	1761	22.5	979	1900	01.10.2021
2021.5	4198	61.08	2556	6531	73.07	81.85	1787	26	1088	2780	01.07.2021
2021.25	4267	61.31	2942	6523	76.27	89.83	1740	25	1200	2660	02.04.2021
2021	4492	62.48	2553	5629	73.88	90.79	1891	26.3	1075	2370	01.01.2021
2020.75	4771	60.1	2209	5849	78.78	92.43	1883	23.72	872	2309	01.10.2020
2020.5	4010	40.41	1834	4335	70.44	78.99	1770	17.84	810	1914	01.07.2020
2020.256	4020	35.76	1798	5208	76.41	82.63	1636	14.55	732	2120	07.04.2020
2020.003	3031	35.48	1933	3821	61.91	69.38	1523	17.82	971	1919	02.01.2020
2019.75	3092	35.86	1922	3514	64.64	70.72	1488	17.25	925	1691	01.10.2019
2019.503	2818	30.94	1689	3144	63.05	71.18	1390	15.26	833	1551	02.07.2019
2019.253	2717	31.78	1791	3010	65.42	73.29	1292	15.11	851	1431	02.04.2019
2019.024	2778	33.63	1770	2853	67.08	77.13	1288	15.59	821	1323	10.01.2019
2018.753	2537	30.97	1757	2215	65.57	75.74	1203	14.69	833	1051	02.10.2018
2018.505	2547	32.5	1718	1904	63.14	73.62	1255	16.01	846	938	03.07.2018
2018.255	2455	30.25	1715	1709	57.29	70.36	1333	16.42	931	928	03.04.2018
2018.024	2415	31.04	1795	1976	57.05	68.16	1317	16.92	979	1077	10.01.2018
2017.755	2363	30.93	1702	1704	57.81	67.9	1271	16.64	916	917	03.10.2017
2017.511	2337	30.64	1731	1589	59.23	67.24	1227	16.09	909	834	05.07.2017
2017.258	2268	33.07	1741	1457	56.14	59.92	1256	18.32	964	807	04.04.2017
2017.024	2287	32.34	1893	1474	59.9	63.21	1187	16.79	983	765	10.01.2017
2016.758	2551	35.82	1992	1407	62.55	70.08	1268	17.81	990	700	04.10.2016
2016.5	2770	40.78	2181	1250	64.18	71.47	1342	19.76	1057	606	01.07.2016
2016.25	2667	32.84	2084	1224	67.86	77.29	1222	15.05	955	561	01.04.2016
2016.03	2655	33.68	2048	1147	75.95	82.47	1087	13.79	839	470	12.01.2016
2015.75	2348	30.27	1913	1436	65.74	73.59	1111	14.32	905	679	01.10.2015
2015.5	2100	27.76	1953	1259	55.84	61.72	1170	15.46	1088	701	01.07.2015
2015.25	2194	30.42	2161	1388	57.65	62.04	1184	16.41	1166	749	01.04.2015
2015.032	2493	33.57	2517	1645	62.74	73.85	1236	16.64	1248	815	13.01.2015
2014.75	1524	21.27	1633	994	39.38	49.72	1204	16.8	1290	785	01.10.2014
2014.5	1445	22.69	1649	930	33.84	46.29	1328	20.85	1515	855	01.07.2014
2014.25	1469	22.46	1637	895	35.61	49.11	1283	19.62	1430	782	01.04.2014
2014.024	1312	20.75	1532	795	33.15	45.31	1231	19.47	1437	746	10.01.2014
2013.75	1391	22.64	1447	751	32.48	43.94	1332	21.68	1386	719	01.10.2013
2013.503	1331	20.61	1445	728	32.85	42.64	1260	19.51	1368	689	02.07.2013
2013.253	1599	27.88	1575	770	31.11	39.88	1598	27.87	1574	770	02.04.2013
2013.024	1620	29.51	1599	687	30.42	40.33	1656	30.17	1635	702	10.01.2013
2012.753	1785	34.77	1696	657	31.25	40.38	1776	34.6	1688	654	02.10.2012
2012.505	1680	28.99	1560	626	32.53	41.01	1606	27.72	1491	598	03.07.2012
2012.258	1548	30.52	1506	596	29.29	38.49	1644	32.41	1599	633	04.04.2012
2012.083	1695	32.49	1582	679	30.31	39.89	1739	33.34	1623	697	01.01.2012
2011.758	1749	32.38	1539	591	32.59	43.49	1669	30.9	1469	564	04.10.2011
2011.5	1341	30.89	1539	679	27.87	40.5	1496	34.47	1717	758	01.07.2011
2011.25	1312	34.42	1629	711	28.52	40.56	1431	37.53	1776	775	01.04.2011
2011.03	1361	29.12	1774	794	30.63	40.21	1382	29.57	1801	806	12.01.2011
2010.75	1284	21.32	1650	564	30.51	42.08	1309	21.73	1682	575	01.10.2010
2010.5	1247	18.61	1514	431	31.26	39.12	1241	18.51	1506	429	01.07.2010
2010.25	1054	16.58	1589	466	29.5	40.06	1111	17.48	1675	491	01.04.2010
2010.03	1092	17.56	1494	403	29.43	42.65	1154	18.56	1579	426	12.01.2010
2009.75	969	15.93	1244	283	30.01	43.62	1004	16.51	1289	293	01.10.2009
2009.5	925	13.43	1203	254	31.04	43.92	927	13.46	1205	254	01.07.2009
2009.25	999	13.92	1247	242	33.9	44.86	916	12.77	1144	222	01.04.2009
2009.03	834	10.84	956	184	30.53	40.81	850	11.04	974	187	12.01.2009
2008.75	715	9.89	851	172	25.37	35.55	876	12.12	1043	211	01.10.2008
2008.5	695	12.99	1572	355	23.41	36.96	923	17.26	2088	472	01.07.2008
2008.25	693	12.94	1464	339	23.5	36.68	917	17.12	1937	449	01.04.2008
2008.024	692	12.2	1229	299	24.44	36.18	881	15.52	1564	380	10.01.2008
2007.753	596	10.86	1084	283	24.88	35.2	745	13.58	1355	354	02.10.2007
2007.505	542	10.37	1071	305	25.73	35.02	655	12.53	1295	369	03.07.2007
2007.255	555	11.13	1047	297	25.99	34.66	664	13.32	1253	355	03.04.2007
2007.024	521	10.56	984	281	26.45	34.21	613	12.42	1157	330	10.01.2007
2006.755	514	9.85	973	264	26.79	34.12	597	11.43	1130	306	03.10.2006
2006.511	541	9.71	1078	283	26.84	34.14	627	11.25	1249	328	05.07.2006
2006.258	524	10.45	975	306	27.77	34.04	587	11.7	1092	343	04.04.2006
2006.027	497	8.14	939	254	28.48	34.53	543	8.89	1025	277	11.01.2006
2005.758	430	6.82	845	180	28.61	34.09	467	7.41	919	196	04.10.2005
2005.5	400	6.43	802	165	28.63	34.22	435	6.98	871	179	01.07.2005
2005.25	383	6.35	773	181	27.85	35.95	428	7.09	863	202	01.04.2005
2005.03	379	5.9	773	173	27.95	37.04	422	6.56	860	192	12.01.2005
2004.75	393	6.47	808	209	29.22	36.27	418	6.89	860	222	01.10.2004
2004.5	368	5.42	726	201	29.05	35.31	394	5.8	777	215	01.07.2004
2004.25	390	7.21	835	276	28.52	35.25	425	7.86	911	301	01.04.2004
2004.013	403	5.86	798	194	29.45	37.47	426	6.19	843	205	06.01.2004
2003.75	379	5	696	210	30.61	35.86	385	5.08	707	213	01.10.2003
2003.5	340	4.44	647	184	30.38	35.12	348	4.55	662	188	01.07.2003
2003.25	340	4.47	634	183	31.38	34.25	337	4.43	628	181	01.04.2003
2003.013	360	4.95	620	250	31.78	33.25	352	4.84	607	245	06.01.2003
2002.75	329	4.61	573	324	31.68	31.13	323	4.53	563	318	01.10.2002
2002.503	319	4.9	531	323	31.5	31.06	315	4.84	524	319	02.07.2002
2002.253	303	4.67	537	391	31.17	27.4	302	4.66	536	390	02.04.2002
2002.008	269	4.5	459	412	30.14	26.95	278	4.64	474	425	04.01.2002
2001.753	276	4.38	389	317	29.43	27.04	292	4.63	411	335	02.10.2001
2001.505	252	4	517	550	29.16	24.72	269	4.27	551	587	03.07.2001
2001.255	236	3.98	513	645	28.77	25.82	255	4.3	555	697	03.04.2001
2001.008	242	4.06	568	889	28.16	26.74	267	4.48	627	982	04.01.2001
2000.755	244	4.33	500	650	27.76	24.3	273	4.85	560	728	03.10.2000
2000.511	259	4.5	467	564	28.03	26.7	287	4.99	518	626	05.07.2000
2000.258	257	4.64	470	548	28.78	27.61	278	5.01	508	592	04.04.2000
2000.013	243	4.45	341	377	26.9	27.75	281	5.14	394	436	06.01.2000
1999.75	242	4.51	317	303	25.05	26.86	300	5.6	394	376	01.10.1999
1999.5	204	4.09	273	250	24.21	24.77	262	5.25	351	321	01.07.1999
1999.25	217	3.86	281	275	24.16	26.04	279	4.97	362	354	01.04.1999
1999.013	190	3.35	238	212	20.65	24	286	5.05	358	319	06.01.1999
