2021	1891	26.3	1075	2370	71.89	1.76	0.8	40.87	90.09	01.01.2021
2020.75	1883	23.72	872	2309	79.38	2.16	0.82	36.75	97.32	01.10.2020
2020.5	1770	17.84	810	1914	99.2	2.19	0.92	45.4	107.3	01.07.2020
2020.266	1662	15.17	736	2180	109.56	2.26	0.76	48.52	143.7	10.04.2020
2020.009	1523	17.82	971	1919	85.43	1.57	0.79	54.48	107.69	02.01.2020
2019.766	1503	17.78	887	1659	84.57	1.7	0.91	49.88	93.31	10.10.2019
2019.51	1393	14.98	806	1543	93	1.73	0.9	53.81	102.99	10.07.2019
2019.253	1292	15.114	852	1431	85.48	1.52	0.9	56.34	94.68	02.04.2019
2019.002778	1285	15.52	794	1266	82.77	1.6188	1.0151	51.13	81.54	02.01.2019
2018.75	1188	14.5	828	1056	81.96	1.4355	1.125	57.1	72.86	01.10.2018
2018.502778	1242	15.86	813	934	78.31	1.5269	1.3292	51.29	58.92	02.07.2018
2018.252778	1336	16.64	937	928	80.31	1.427	1.4409	56.28	55.74	02.04.2018
2018.002778	1318	17.19	948	1087	76.65	1.3902	1.2118	55.14	63.25	02.01.2018
2017.752778	1271	16.59	917	911	76.62	1.3868	1.3949	55.25	54.93	02.10.2017
2017.505556	1220	16.14	906	842	75.62	1.3469	1.4488	56.14	52.19	03.07.2017
2017.255556	1253	18.26	958	803	68.64	1.308	1.5617	52.48	43.95	03.04.2017
2017.005556	1159	16.29	944	710	71.15	1.2275	1.6326	57.96	43.58	03.01.2017
2016.755556	1312	18.83	1009	712	69.67	1.3001	1.8432	53.59	37.8	03.10.2016
2016.5	1342	19.76	1057	606	67.93	1.2698	2.2163	53.5	30.65	01.07.2016
2016.25	1223	15.05	955	561	81.23	1.2798	2.1795	63.47	37.27	01.04.2016
2016.008333	1074	13.87	885	544	77.45	1.2145	1.9739	63.77	39.24	04.01.2016
2015.75	1111	14.32	905	679	77.57	1.2271	1.635	63.21	47.44	01.10.2015
2015.5	1169	15.46	1088	701	75.64	1.075	1.6677	70.36	45.36	01.07.2015
2015.25	1183	16.41	1166	749	72.11	1.0149	1.5803	71.05	45.63	01.04.2015
2015.002778	1183	15.64	1204	795	75.62	0.9824	1.488	76.98	50.82	02.01.2015
2014.75	1204	16.8	1290	785	71.64	0.9332	1.534	76.76	46.7	01.10.2014
2014.5	1328	20.85	1515	855	63.69	0.8765	1.5538	72.66	40.99	01.07.2014
2014.25	1283	19.62	1430	782	65.4	0.8975	1.6409	72.86	39.85	01.04.2014
2014.002778	1222	19.81	1405	730	61.7	0.8702	1.6738	70.9	36.86	02.01.2014
2013.75	1332	21.68	1385	719	61.44	0.9615	1.8528	63.9	33.16	01.10.2013
2013.5	1242	19.73	1383	687	62.95	0.8983	1.8085	70.07	34.8	01.07.2013
2013.25	1596	28.68	1599	784	55.65	0.9982	2.0358	55.75	27.33	01.04.2013
2013.002778	1679	30.48	1568	708	55.1	1.071	2.3721	51.44	23.23	02.01.2013
2012.752778	1776	34.6	1687	654	51.34	1.0528	2.7153	48.76	18.91	02.10.2012
2012.502778	1594	27.26	1458	578	58.48	1.0931	2.7579	53.5	21.2	02.07.2012
2012.252778	1670	32.33	1655	659	51.65	1.009	2.5346	51.19	20.38	02.04.2012
2012.005556	1586	28.22	1433	664	56.22	1.1074	2.3909	50.76	23.51	03.01.2012
2011.755556	1652	30.69	1517	594	53.83	1.089	2.7825	49.43	19.35	03.10.2011
2011.5	1497	34.47	1717	757	43.41	0.8717	1.9757	49.81	21.97	01.07.2011
2011.25	1431	37.54	1777	775	38.12	0.8053	1.8463	47.33	20.65	01.04.2011
2011.008333	1412	30.62	1747	769	46.13	0.8083	1.8365	57.07	25.12	04.01.2011
2010.75	1308	21.73	1682	575	60.21	0.7779	2.276	77.41	26.46	01.10.2010
2010.5	1241	18.52	1507	429	67	0.8235	2.892	81.36	23.17	01.07.2010
2010.25	1112	17.48	1676	491	63.6	0.6635	2.2626	95.86	28.11	01.04.2010
2010.008333	1105	16.9	1524	421	65.36	0.7248	2.621	90.17	24.93	04.01.2010
2009.75	1005	16.51	1289	293	60.85	0.7792	3.4293	78.09	17.74	01.10.2009
2009.5	927	13.46	1205	255	68.84	0.7689	3.6359	89.53	18.93	01.07.2009
2009.25	917	12.77	1144	222	71.79	0.8015	4.1372	89.57	17.35	01.04.2009
2009.002778	882	11.17	947	192	78.97	0.9318	4.5871	84.75	17.22	02.01.2009
2008.75	876	12.12	1043	211	72.31	0.8401	4.1543	86.06	17.41	01.10.2008
2008.5	924	17.26	2089	472	53.53	0.4423	1.9572	121.01	27.35	01.07.2008
2008.25	917	17.12	1938	449	53.56	0.4732	2.0439	113.19	26.2	01.04.2008
2008.002778	835	14.67	1546	380	56.93	0.5402	2.1985	105.39	25.9	02.01.2008
2007.75	743	13.72	1401	363	54.18	0.5305	2.0505	102.13	26.42	01.10.2007
2007.502778	650	12.4	1295	371	52.44	0.5021	1.7509	104.44	29.95	02.07.2007
2007.252778	664	13.34	1249	354	49.74	0.5312	1.8759	93.63	26.51	02.04.2007
2007.002778	638	12.97	1144	339	49.17	0.5573	1.884	88.23	26.1	02.01.2007
2006.752778	597	11.36	1159	314	52.59	0.5154	1.9016	102.04	27.65	02.10.2006
2006.511111	627	11.25	1249	328	55.74	0.5022	1.9136	110.99	29.13	05.07.2006
2006.255556	585	11.58	1089	346	50.48	0.5367	1.6875	94.05	29.91	03.04.2006
2006.005556	519	8.91	982	270	58.3	0.5291	1.9225	110.19	30.33	03.01.2006
2005.755556	472	7.46	928	197	63.33	0.5092	2.3964	124.37	26.43	03.10.2005
2005.5	434	6.99	871	179	62.12	0.4986	2.4257	124.59	25.61	01.07.2005
2005.25	427	7.09	863	202	60.25	0.4951	2.1164	121.69	28.47	01.04.2005
2005.005556	438	6.75	854	179	64.84	0.5128	2.4453	126.44	26.52	03.01.2005
2004.75	419	6.89	860	223	60.77	0.4866	1.8793	124.88	32.34	01.10.2004
2004.5	394	5.8	778	215	67.92	0.5066	1.8323	134.07	37.07	01.07.2004
2004.25	425	7.86	910	301	54.13	0.4674	1.4125	115.81	38.32	01.04.2004
2004.011111	417	5.94	834	205	70.12	0.4997	2.0337	140.32	34.48	05.01.2004
2003.75	385	5.08	707	214	75.73	0.5443	1.7993	139.13	42.09	01.10.2003
2003.5	348	4.55	663	189	76.57	0.5259	1.8458	145.6	41.48	01.07.2003
2003.25	337	4.43	628	181	76.07	0.5365	1.8583	141.78	40.94	01.04.2003
2003.002778	347	4.73	600	240	73.26	0.5775	1.445	126.85	50.7	02.01.2003
2002.75	323	4.53	562	319	71.24	0.5741	1.0132	124.08	70.31	01.10.2002
